#survey	data_release	source_name	schema_key
GALAH	Data Release 3	150108001501131	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150108001501144	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229002501104	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229002501315	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229002501329	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229002501332	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150607004101030	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150607004101074	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229002501382	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150607004101264	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160811004601374	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229002502332	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161210004201042	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229003001014	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229003001022	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229003001115	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229003001130	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001801007	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001801242	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001801260	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151229003001276	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161210004201391	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802003	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802006	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802007	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802012	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802052	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802056	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802082	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802086	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802089	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802137	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802199	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802205	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151219002601142	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802225	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802241	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802242	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802244	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151219002601175	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802260	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802265	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802298	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802312	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151219002601194	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802319	galah.dr3.spectra.hermes.spectrum_1d
